Cereal Name,Manufacturer,Protein (g),Calories
100%_Bran,Nabisco,4,70
100%_Natural_Bran,Quaker Oats,3,120
All-Bran,Kelloggs,4,70
All-Bran_with_Extra_Fiber,Kelloggs,4,50
Almond_Delight,Ralston Purina,2,110
Apple_Cinnamon_Cheerios,General Mills,2,110
Apple_Jacks,Kelloggs,2,110
Basic_4,General Mills,3,130
Bran_Chex,Ralston Purina,2,90
Bran_Flakes,Post,3,90
Cap'n'Crunch,Quaker Oats,1,120
Cheerios,General Mills,6,110
Cinnamon_Toast_Crunch,General Mills,1,120
Clusters,General Mills,3,110
Cocoa_Puffs,General Mills,1,110
Corn_Chex,Ralston Purina,2,110
Corn_Flakes,Kelloggs,2,100
Corn_Pops,Kelloggs,1,110
Count_Chocula,General Mills,1,110
Cracklin'_Oat_Bran,Kelloggs,3,110
Cream_of_Wheat_(Quick),Nabisco,3,100
Crispix,Kelloggs,2,110
Crispy_Wheat_&_Raisins,General Mills,2,100
Double_Chex,Ralston Purina,2,100
Froot_Loops,Kelloggs,2,110
Frosted_Flakes,Kelloggs,1,110
Frosted_Mini-Wheats,Kelloggs,3,100
Fruitful_Bran,Kelloggs,3,120
Fruity_Pebbles,Post,1,110
Golden_Crisp,Post,2,100
Golden_Grahams,General Mills,1,110
Grape_Nuts_Flakes,Post,3,100
Grape-Nuts,Post,3,110
Great_Grains_Pecan,Post,3,120
Honey_Graham_Ohs,Quaker Oats,1,120
Honey_Nut_Cheerios,General Mills,3,110
Honey-comb,Post,1,110
Just_Right_Crunchy__Nuggets,Kelloggs,2,110
Just_Right_Fruit_&_Nut,Kelloggs,3,140
Kix,General Mills,2,110
Life,Quaker Oats,4,100
Lucky_Charms,General Mills,2,110
Maypo,American Home Food Products,4,100
Mueslix_Crispy_Blend,Kelloggs,3,160
Multi-Grain_Cheerios,General Mills,2,100
Nut&Honey_Crunch,Kelloggs,2,120
Nutri-Grain_Almond-Raisin,Kelloggs,3,140
Nutri-grain_Wheat,Kelloggs,3,90
Oatmeal_Raisin_Crisp,General Mills,3,130
Post_Nat._Raisin_Bran,Post,3,120
Product_19,Kelloggs,3,100
Puffed_Rice,Quaker Oats,1,50
Puffed_Wheat,Quaker Oats,2,50
Quaker_Oat_Squares,Quaker Oats,4,100
Quaker_Oatmeal,Quaker Oats,5,100
Raisin_Bran,Kelloggs,3,120
Raisin_Nut_Bran,General Mills,3,100
Raisin_Squares,Kelloggs,2,90
Rice_Chex,Ralston Purina,1,110
Rice_Krispies,Kelloggs,2,110
Shredded_Wheat,Nabisco,2,80
Shredded_Wheat_'n'Bran,Nabisco,3,90
Shredded_Wheat_spoon_size,Nabisco,3,90
Smacks,Kelloggs,2,110
Special_K,Kelloggs,6,110
Strawberry_Fruit_Wheats,Nabisco,2,90
Total_Corn_Flakes,General Mills,2,110
Total_Raisin_Bran,General Mills,3,140
Total_Whole_Grain,General Mills,3,100
Triples,General Mills,2,110
Trix,General Mills,1,110
Wheat_Chex,Ralston Purina,3,100
Wheaties,General Mills,3,100
Wheaties_Honey_Gold,General Mills,2,110